Project,Relation Type,SATD A,SATD B
Carbondata,SATD Repayment,"[2017-04-06 10:21:41][ravipesala][commit][4a7adfa97ae62ea946a1111101f5ae9b2148e76f]
[CARBONDATA-870] Folders and files not getting cleaned up created locally during data load operation. This closes #735
","[2017-04-05 13:44:54][Manish Gupta][issue:summary][CARBONDATA-870:13061745]
Folders and files which are created in local temp store location during data load and insert into operations are not getting cleaned up. After some time this will lead to filling up of local disk space and eventually will lead to data load failure if threshold limit is reached.
For this all the folders and files created locally need to be deleted once the operation is completed."
Ozone,SATD Duplication,"[2020-08-06 17:49:25][adoroszlai][pull:summary][1297]
HDDS-4073. Remove leftover robot.robot
","[2020-08-06 16:13:18][Attila Doroszlai][issue:summary][HDDS-4073:13321332]
An unused Robot test ({{robot.robot}}) was accidentally added in HDDS-3612.  It was refactored to separate {{string_tests.robot}} and {{fs_tests.robot}}, but the original file was not removed."
Lucene Solr,No Relation,"[2018-04-03 09:37:12][Alan Woodward][code-comment][00eab54f9d6232c68a93f10ff20e3a724ffeca14]
*
   * Return an iterator over intervals where the subiterators appear in a given order
","[2018-03-09 17:12:43][Jim Ferenczi][issue:comment][LUCENE-8196:16393188]
{quote}
I'd rather keep the API as it is, with the field being passed to IntervalQuery and then recursing down the IntervalSource tree.  Otherwise you end up having to declare the field on all the created sources, which seems redundant.  I've removed the cross-field hack entirely for the moment.
{quote}

+1 to remove the cross-field hack, thanks. Regarding the API it's ok since IntervalQuery limits all sources to one field so I am fine with that (I misunderstood how the IntervalQuery can be used)."
Nifi,SATD Repayment,"[2018-10-23 14:46:14][rednikotin][code-comment][c8928ce3509facbf4b6501295273849de2288fab]
 replace unnecessary row count with -1 stub value when paging is used
","[2018-10-23 14:46:14][rednikotin][commit][c8928ce3509facbf4b6501295273849de2288fab]
NIFI-5727: Added replace unnecessary row count with -1 stub value when paging is used

Signed-off-by: Matthew Burgess <mattyb149@apache.org>

This closes #3094"
Incubator Pinot,SATD Repayment,"[2016-07-27 13:16:16][Puneet Jaiswal][commit][dfa4a8f25fa23a4458f5d92376a06a72b8463836]
TE: removing unused DAO classes. (#320)

* thirdeye : removing unused classes

* adding results util function

* restoring code for backward compatibility

* optimizing function update with anomaly-result
","[2016-07-27 17:54:37][puneetjaiswal][pull:summary][320]
TE: removing unused DAO classes"
Incubator Doris,SATD Repayment,"[2020-12-18 21:17:18][Mingyu Chen][code-comment][3d4b2cb1aee6c3c0d4ebc74ca75046ceeeb8c350]
/ Regardless of whether the tablet is submitted for compaction or not,
/ we need to call 'reset_compaction' to clean up the base_compaction or cumulative_compaction objects
/ in the tablet, because these two objects store the tablet's own shared_ptr.
/ If it is not cleaned up, the reference count of the tablet will always be greater than 1,
/ thus cannot be collected by the garbage collector. (TabletManager::start_trash_sweep)
","[2020-12-17 03:36:23][morningman][pull:summary][5100]
## Proposed changes

Regardless of whether the tablet is submitted for compaction or not,
we need to call 'reset_compaction' to clean up the base_compaction or cumulative_compaction objects
in the tablet, because these two objects store the tablet's own shared_ptr.
If it is not cleaned up, the reference count of the tablet will always be greater than 1,
thus cannot be collected by the garbage collector. (TabletManager::start_trash_sweep)

This bug is introduced from #4891

## Types of changes

- [x] Bugfix (non-breaking change which fixes an issue)"
Phoenix,No Relation,"[2014-12-18 12:18:16][Nick Dimiduk][code-comment][8307f6c43fecd397c96414caf606c25b273dbd3a]

                 * There was a bug in serialization of timestamps which was causing the sub-second millis part
                 * of time stamp to be present both in the LONG and INT bytes. Having the <100000 check
                 * makes this serialization fix backward compatible.
","[2014-12-17 20:16:59][Eli Levine][issue:comment][PHOENIX-1514:14250457]
Thanks for the work, Nick! IMHO we might be better off keeping this in main and 5.0 branch. Looking at the pull req a bit... this change is quite pervasive and putting into 4.0 means version 4.3, the next minor Phoenix 4 release will get it. This is feeling like a major version feature.  Keeping it in 5.0 and main might make more sense and maybe only backport it if/when people express a need for this in 4.x?"
Camel,SATD Repayment,"[2020-08-28 09:11:55][Claus Ibsen][commit][0b25b36f0a6baf73ac0a9497af4502a0967b1964]
CAMEL-15474: camel-api-component - Source code generator should include parameter documentation
","[2020-08-27 10:15:52][Claus Ibsen][issue:summary][CAMEL-15474:13324809]
camel-api-component - Source code generator should include parameter documentation"
Pulsar,SATD Duplication,"[2020-09-16 04:56:10][gaoran10][pull:summary][8071]
[Test] transaction flaky test
","[2020-09-16 04:47:33][gaoran10][issue:summary][8070]
Transaction flaky test caused by TB client topic lookup failed"
Attic Apex Malhar,SATD Repayment,"[2015-03-06 12:26:22][Chaitanya][code-comment][5baa375c47efc7fdd5f326f8ad4f43d4ab7a0dba]
 Ignore the duplicate messages
","[2015-03-06 12:26:22][Chaitanya][commit][5baa375c47efc7fdd5f326f8ad4f43d4ab7a0dba]
Ignore the duplicate messages. Remove the map first, if the thread is done"
Incubator Mxnet,SATD Repayment,"[2018-08-07 05:18:48][Anirudh Subramanian][commit][9dd5edd8e6ec28a97c6ba9bda51b2b9c7a88971b]
Disable flaky cpp test (#12056)
","[2018-08-06 23:10:52][anirudh2290][pull:summary][12056]
## Description ##
Disabling flaky test. Tracking here: https://github.com/apache/incubator-mxnet/issues/11998

## Checklist ##
### Essentials ###
Please feel free to remove inapplicable items for your PR.

- [x] Changes are complete (i.e. I finished coding on this PR)
- [x] All changes have test coverage:
- Unit tests are added for small changes to verify correctness (e.g. adding a new operator)
- Nightly tests are added for complicated/long-running ones (e.g. changing distributed kvstore)
- Build tests will be added for build configuration changes (e.g. adding a new build option with NCCL)
- [x] To the my best knowledge, examples are either not affected by this change, or have been fixed to be compatible with this change

### Changes ###
- [x] Disable test MKLDNNSum"
Beam,SATD Repayment,"[2016-02-01 19:09:45][dhalperi][code-comment][ab733b4557f82589d661d5093a6e0c6d7905bae4]
 Cache the old encoder/decoder and let the factories reuse them when possible. To be threadsafe,
 these are ThreadLocal. This code does not need to be re-entrant as AvroCoder does not use
 an inner coder.
","[2016-02-01 19:09:45][dhalperi][commit][ab733b4557f82589d661d5093a6e0c6d7905bae4]
AvroCoder: more efficient use of Avro APIs

- Make the Encoder/Decoder factories static -- they are thread-safe
  and immutable.
- Reuse the DirectBinaryEncoder/DirectBinaryDecoder objects across
  invocations to encode/decode. Though reuse is only ""when possible"",
  it's always applicable in our invocations. This change reduces the
  allocations of these objects from 1/element to 1/coder instance.
- Remove the call to flush from encoder(), because the
  DirectBinaryEncoder does not need to be flushed.
- Cache the objects in ThreadLocal variables for thread safety.

----Release Notes----
[]
-------------
Created by MOE: https://github.com/google/moe
MOE_MIGRATED_REVID=113018546"
Fineract,SATD Repayment,"[2019-11-25 08:58:07][xurror][code-comment(deleted)][b0bfeddc62c09edf01ef193e5da373faab78a0cd]
 TODO Auto-generated method stub
","[2019-11-25 08:58:07][xurror][commit][b0bfeddc62c09edf01ef193e5da373faab78a0cd]
remove TODO Auto-generated method stub"
Lucene Solr,No Relation,"[2018-02-20 17:46:47][koji][code-comment][4bfcbc5c605e2823c924dbe287a67b37d2dd0ca8]
 Field to use to determine and enforce document uniqueness.
      Unless this field is marked with required=""false"", it will be a required field
","[2018-02-24 19:14:09][Uwe Schindler][issue:comment][SOLR-11795:16375749]
Hi Koji,
the snakeyaml people are fixing the bug with Java 9. So it looks like we may get a relaese - it should be enough to update the dependency then. I have no plans about their schedule.

Nevertheless, I am not really happy with another config file format. We should somehow decide for one of them, not add many more."
Hadoop,No Relation,"[2012-03-03 00:42:49][Aaron Myers][code-comment][a1fc055489766876e8d3ee2bd75a5fef25f05b33]
 Look up the address of the active NN.
","[2012-03-14 19:28:25][Todd Lipcon][issue:comment][HDFS-1623:13229534]
Hi Avik. The multi-SBN approach is actually very nearly implemented by what's in trunk. The main missing pieces are actually in the more trivial bits -- for example, we have a few bits of the code that look up ""the other node"" for operations like triggering checkpoints. Those would have to be modified a bit to ""look up the active node"" instead. But nothing fundamental or really difficult."
Hbase,SATD Repayment,"[2018-06-14 20:26:49][Sean Busbey][code-comment][cb2dfd117b1764c3719d184a5ffbf77a7c5949ec]
 If we change checkstyle configs, run checkstyle
","[2018-06-14 17:38:55][Sean Busbey][issue:summary][HBASE-20733:13166158]
right now we only do checkstyle tests when java files are altered. we should also run if our checkstyle configs in {{hbase-checkstyle}} are altered."
Lucene Solr,No Relation,"[2012-08-09 10:20:53][Uwe Schindler][code-comment][148d99cbbc1201c1812ea0b7d63604355f55ff8b]
Assume all of the docs have a unique term (e.g. a primary key) and we hope to maintain a set with 10% of bits set
","[2012-08-09 14:31:22][Chris Male][issue:comment][LUCENE-3312:13431839]
Yup found it.  

The problem is in the branch {{Document#getFields()}} is creating a new List and inside {{DocMaker}} in the benchmark module, it is pulling the Fields and clearing them (using {{clear()}}).  Since a new List is being created each time, it is the new List that is getting cleared rather than the actual fields.  Hence each iteration just adds more fields without having the previous ones cleared."
Druid,SATD Repayment,"[2018-10-23 07:17:38][Roman Leventov][commit][84ac18dc1bce14afe88ebcccd46da21baefae73d]
Catch some incorrect method parameter or call argument formatting patterns with checkstyle (#6461)

* Catch some incorrect method parameter or call argument formatting patterns with checkstyle

* Fix DiscoveryModule

* Inline parameters_and_arguments.txt

* Fix a bug in PolyBind

* Fix formatting
","[2018-10-12 21:46:46][leventov][pull:summary][6461]
Catch some incorrect method parameter or call argument formatting patterns with checkstyle"
Beam,SATD Repayment,"[2020-04-09 10:44:35][Kamil Wasilewski][commit][79b2d87b59819ee55fb8600e8a845c6ba5b98d64]
[BEAM-9085] Fix performance regression in SyntheticSource on Python 3 (#11092)
","[2020-01-10 12:15:55][Kamil Wasilewski][issue:summary][BEAM-9085:13278704]
Performance regression in np.random.RandomState() skews performance test results across Python 2/3 on Dataflow"
Attic Apex Core,SATD Duplication,"[2013-12-04 15:06:29][David Yan][code-comment][69862c37388b64f992fb31be4d88b5f405edeb1b]
 commented out because free memory is misleading because of GC. may want to revisit this.
public int memoryMBFree;
","[2013-12-04 15:06:29][David Yan][commit][69862c37388b64f992fb31be4d88b5f405edeb1b]
SPOI-1456 #resolve took out memoryFree because GC makes it misleading, may want to revisit this"
Hive,No Relation,"[2017-03-21 13:55:27][Sergey Shelukhin][code-comment(deleted)][9f5a3e3d89db7d6f4754eb345ad9abb6997857e1]
 TODO: is it valid to give zcr the modified 2nd part?
","[2017-03-21 13:55:27][Sergey Shelukhin][commit][9f5a3e3d89db7d6f4754eb345ad9abb6997857e1]
HIVE-16180 : LLAP: Native memory leak in EncodedReader (Sergey Shelukhin/Prasanth Jayachandran, reviewed by Prasanth Jayachandran/Sergey Shelukhin)"
Echarts,SATD Duplication,"[2017-12-29 17:37:20][sushuang][code-comment][ee5d23b29cc17ae07a63add3644f0826d0e57374]
 If a stageHandler should cover all series, `allSeries` should be declared mandatorily,
 to avoid some typo or abuse. Otherwise if an extension do not specify a `seriesType`,
 it works but it may cause other irrelevant charts blocked.
","[2017-12-29 17:37:20][sushuang][commit][ee5d23b29cc17ae07a63add3644f0826d0e57374]
If a stageHandler should cover all series, `allSeries` should be declared mandatorily, to avoid some typo or abuse. Otherwise if an extension do not specify a `seriesType`, it works but it may cause other irrelevant charts blocked."
Tvm,SATD Repayment,"[2020-03-22 18:15:19][Tianqi Chen][commit][50b5adaac2956712d65e14c163148c1e6279f5e2]
[DOCS] Cleanup docs before rebuild (#5127)

* [DOCS] Cleanup docs before rebuild

* Ask doxygen to generate svg to minimize the file size
","[2020-03-22 20:22:27][tqchen][pull:summary][5127]
[DOCS] Cleanup docs before rebuild"
Hbase,No Relation,"[2014-12-16 11:14:30][Jesse Yates][commit][a411227b0ebf78b4ee8ae7179e162b54734e77de]
HBASE-5162 Basic client pushback mechanism

Instead of just blocking the client for 90 seconds when the region gets too
busy, it now sends along region load stats to the client so the client can
know how busy the server is. Currently, its just the load on the memstore, but
it can be extended for other stats (e.g. cpu, general memory, etc.).

It is then up to the client to decide if it wants to listen to these stats.
By default, the client ignores the stats, but it can easily be toggled to the
built-in exponential back-off or users can plug in their own back-off
implementations
","[2014-11-07 20:01:02][Jesse Yates][issue:comment][HBASE-5162:14202565]
Updated patch on latest master (we were getting behind a little bit) and hopefully fixing the checkstyle and findbugs issues."
Arrow,SATD Repayment,"[2018-03-26 19:38:25][Antoine Pitrou][commit][f9f8320339692d4134d1ef42c32cb7c8d547593e]
ARROW-2354: [C++] Make PyDecimal_Check() faster

This basically keeps an eternal reference to the decimal type.

Before:
```
[100.00%] ··· Running convert_pandas.PandasConversionsToArrow.time_from_series                                                                               ok
[100.00%] ····
               ========= ========== ============= ============== ===========
               --                               dtype
               --------- ---------------------------------------------------
                  size     int64       float64     float64_nans      str
               ========= ========== ============= ============== ===========
                   10     420±1μs      426±1μs      421±0.3μs     450±0.6μs
                1000000   6.92±1ms   14.1±0.02ms   15.5±0.04ms      1.66s
               ========= ========== ============= ============== ===========
```

After:
```
[100.00%] ··· Running convert_pandas.PandasConversionsToArrow.time_from_series                                                                               ok
[100.00%] ····
               ========= =========== ============= ============== ===========
               --                               dtype
               --------- ----------------------------------------------------
                  size      int64       float64     float64_nans      str
               ========= =========== ============= ============== ===========
                   10     425±0.9μs     428±1μs      430±0.8μs     438±0.6μs
                1000000    7.49±1ms   14.2±0.04ms   15.4±0.05ms     99.2±1ms
               ========= =========== ============= ============== ===========
```

Author: Antoine Pitrou <antoine@python.org>

Closes #1794 from pitrou/ARROW-2354-faster-decimal-check and squashes the following commits:

3e22cfe3 <Antoine Pitrou> ARROW-2354:  Make PyDecimal_Check() faster
","[2018-03-26 16:41:42][Antoine Pitrou][issue:summary][ARROW-2354:13147974]
[C++] PyDecimal_Check() is much too slow"
Incubator Brooklyn,SATD Duplication,"[2015-11-02 16:42:45][Alex Heneveld][code-comment][48e4fe3ca0b5a00fbdec10bceec9f21edee25ded]
 TODO-type-registry
","[2015-10-30 03:00:38][ahgittin][pull:summary][993]
Introduce a type registry as a simplified catalog"
Flink,No Relation,"[2015-07-21 17:58:14][Stephan Ewen][code-comment][d59cebd8c3f643dc6da88924300e78f65f26c640]
 If no document and documentElement is available, return
","[2015-07-21 19:17:05][Stephan Ewen][issue:comment][FLINK-2358:14635654]
Implemented in 44ee1c1b64b18db199a7e77492dc890a1234fcb0 and e86f451705315ea7d1ed4d3821e08dd2225d84c0"
Incubator Mxnet,SATD Repayment,"[2019-08-29 10:37:11][Anirudh Subramanian][commit][649429d055e8ac89b2a45929ff2344959768a6e3]
Disable flaky test in test_amp_conversion (#16031)
","[2019-08-28 18:51:26][anirudh2290][pull:summary][16031]
Disable flaky test in test_amp_conversion"
Ignite,No Relation,"[2019-02-06 13:03:51][ascherbakoff][pull:comment][3501:254261587]
Missing javadoc
","[2018-02-08 09:13:14][Alexey Scherbakov][issue:summary][IGNITE-7648:13137103]
IGNITE_ENABLE_FORCIBLE_NODE_KILL system property was introduced in IGNITE-5718 as a way to prevent unnecessary node drops in case of short network problems.

I suppose it's wrong decision to fix it in such way.

We had faced some issues in our production due to lack of automatic kicking of ill-behaving nodes (on example, hanging due to long GC pauses) until we realised the necessity of changing default behavior via property.

Right solution is to kick nodes only if failure threshold is reached. Such behavior should be always enabled.

UPDATE: During a discussion it was decided what the property will remain disabled by default.

We decided to change timeout logic in case of failure detection enabled. We start performing connect and handshake from 500ms increasing using exponential backoff strategy."
Lucene Solr,No Relation,"[2011-06-30 13:59:59][Mark Robert Miller][code-comment][b5be90974b28e59d6ee59b6cbfd24f68c7fc79f6]
*
 * Helper class for tracking autoCommit state.
 * 
 * Note: This is purely an implementation detail of autoCommit and will
 * definitely change in the future, so the interface should not be relied-upon
 * 
 * Note: all access must be synchronized.
","[2011-06-01 00:13:57][Jason Rutherglen][issue:comment][SOLR-2193:13041904]
bq. I guess personally, just looking at the big picture, this issue seems like a great win for Solr.

Yes the concept of not stopping the world is great.  The concept of Solr continuing to be difficult to customize is not so great.  

-1 on the implementation which introduces even more awkward layers into Solr, which should be going in the direction of removing the old cruft."
Trafodion,SATD Repayment,"[2017-10-02 00:13:35][Anoop Sharma][code-comment(deleted)][2eaef5d7a9b3beb1b4f45ab97899c2a4b6b7059e]
 warning elimination
 warning elimination 
 warning elimination
 warning elimination
 warning elimination
 warning elimination
 warning elimination
 warning elimination
 warning elimination
 warning elimination
 warning elimination
 warning elimination
 warning elimination
 warning elimination
 warning elimination
 warning elimination
","[2017-10-02 00:13:35][Anoop Sharma][commit][2eaef5d7a9b3beb1b4f45ab97899c2a4b6b7059e]
PR-1251 [TRAFOFION-2731] CodeCleanup: Phase4: Removed lagacy/obsolete warning elimination pragmas"
Trafodion,SATD Repayment,"[2017-10-02 00:13:35][Anoop Sharma][code-comment(deleted)][2eaef5d7a9b3beb1b4f45ab97899c2a4b6b7059e]
 warning elimination 
 warning elimination 
 warning elimination 
 warning elimination 
 warning elimination 
 warning elimination 
 warning elimination 
 warning elimination 
 warning elimination 
 warning elimination 
 warning elimination 
 warning elimination 
 warning elimination 
 warning elimination 
 warning elimination 
 warning elimination 
 warning elimination 
 warning elimination 
 warning elimination 
 warning elimination 
 warning elimination 
 warning elimination 
 warning elimination 
 warning elimination 
 warning elimination 
 warning elimination 
 warning elimination 
 warning elimination
","[2017-10-02 00:13:35][Anoop Sharma][commit][2eaef5d7a9b3beb1b4f45ab97899c2a4b6b7059e]
PR-1251 [TRAFOFION-2731] CodeCleanup: Phase4: Removed lagacy/obsolete warning elimination pragmas"
Airflow,SATD Duplication,"[2017-09-11 15:08:00][Fokko][pull:summary][2592]
[AIRFLOW-1582] Improve logging within Airflow
","[2017-09-08 13:37:58][Fokko Driesprong][issue:summary][AIRFLOW-1582:13100812]
Improve logging structure of Airflow"
Incubator Doris,SATD Repayment,"[2019-09-03 10:42:16][EmmyMiao87][commit][9f5e5717d4aaf184518d8da93b11c2137489fe6d]
Unify the msg of 'Memory exceed limit' (#1737)

The new msg of limit exceed: ""Memory exceed limit. %msg, Backend:%ip, fragment:%id Used:% , Limit:%. xxx"".
This commit unifies the msg of 'Memory exceed limit' such as check_query_state, RETURN_IF_LIMIT_EXCEEDED and LIMIT_EXCEEDED.
","[2019-09-02 12:09:41][EmmyMiao87][pull:summary][1737]
The new msg of limit exceed: ""Memory exceed limit. %msg, Backend:%ip, fragment:%id Used:% , Limit:%. xxx"".
This commit unifies the msg of 'Memory exceed limit' such as check_query_state, RETURN_IF_LIMIT_EXCEEDED and LIMIT_EXCEEDED."
Reef,No Relation,"[2014-05-29 17:03:31][Markus Weimer][commit][9ae319a235bd2aaf22e340230edc3236446b9171]
Fixed the first half of #750

The fixes the first half of #750, namely the test for exception propagation from a Task's `call()` method:

 * Removed the `FailedTask` handler in the test's Driver. This means that we now forward the errors correctly to the client.
 * Fixed a log message in `FailTaskStart`
 * Updated `EvaluatorManager` logging
","[2016-01-05 18:25:40][tcNickolas][pull:comment][750:169088890]
Do we need to increase the size of the images? I'm not sure how github resizes them when displaying README.md, they might not scale."
Gobblin,SATD Repayment,"[2016-11-23 11:47:58][htran1][commit][5910b0734d297988b3e0bf4e7f9b29310c958514]
Interleave gc() calls with memory allocations to improve reliability of garbage collection test. (#1421)
","[2016-11-23 18:39:49][htran1][pull:summary][1421]
Interleave gc() calls with memory allocations to improve reliability …"
Camel,SATD Repayment,"[2015-01-20 09:53:59][Claus Ibsen][commit][f7cbecbb43738a94bf37f856868f3685ad65896f]
CAMEL-8195: Add javadoc to model classes so we have EIP documentation out of the box
","[2014-12-30 10:04:09][Claus Ibsen][issue:summary][CAMEL-8195:12764171]
Add javadoc to model classes so we have EIP documentation out of the box"
Hbase,SATD Duplication,"[2016-06-14 18:51:54][anoopsjohn][code-comment][17bcf14fea2637fe0e5ca23bb0008c1cca208c98]
 TODO better config names?
 hbase.ipc.server.reservoir.initial.max -> hbase.ipc.server.reservoir.max.buffer.count
 hbase.ipc.server.reservoir.initial.buffer.size -> hbase.ipc.server.reservoir.buffer.size
","[2016-06-14 13:37:53][Anoop Sam John][issue:comment][HBASE-15525:15329506]
{quote}
// TODO better config names?
+  // hbase.ipc.server.reservoir.initial.max -> hbase.ipc.server.reservoir.max.buffer.count
+  // hbase.ipc.server.reservoir.initial.buffer.size -> hbase.ipc.server.reservoir.buffer.size
{quote}
I added this TODO.  Kept the old config names from BoundedBBPool for BC.  May be we should add the new config and deprecate old for 2.0?  We can not just rename by deprecating in 1.3+ versions."
Incubator Mxnet,SATD Repayment,"[2017-07-11 10:56:24][Soonhwan-Kwon][commit][22f9a0dc96a0ad3741c1f8db7b66f27d9de9971a]
add bucketing/batchnorm and improved performance for speech_recognition example (#6971)
","[2017-07-10 04:20:29][Soonhwan-Kwon][pull:summary][6971]
add bucketing and batch norm scheme for speech_recognition example to improve training performance
add flexibility to support various optimizer
fix bug in generating bi-graphemes dictionray
add option not to save csv file to improve performane and reduce disk space requirement
and it solves performance issue(speed) related to #6418
and may related to issues #3076, #6115, #2663
when using both bucketing(variable length) and batch norm
although it is not a solution for time-step wise but layer wise approach for batch normalization"
Accumulo,No Relation,"[2018-08-28 15:44:40][Christopher McTague][code-comment][aaa1c0c82f58b5047b9146d1a0adf007cdb75c0c]
 TODO use constants
","[2018-08-28 15:44:40][Christopher McTague][commit][aaa1c0c82f58b5047b9146d1a0adf007cdb75c0c]
Spelling corrections in comments/javadocs (#620)"
Druid,SATD Duplication,"[2017-05-23 10:33:03][Gian Merlino][code-comment][22e5f52d00425d3e70a10c2c49db39055864d51e]
 Workaround for non-thread-safe use of HyperLogLogCollector.
 OnheapIncrementalIndex has a penchant for calling ""aggregate"" and ""get"" simultaneously.
","[2017-05-23 10:33:03][Gian Merlino][commit][22e5f52d00425d3e70a10c2c49db39055864d51e]
Workaround for non-thread-safe use of CardinalityAggregator. (#4304)"
Ignite,SATD Duplication,"[2017-09-27 12:20:24][Pavel Tupitsyn][code-comment][7f82340189bebac7bfd5f935eb3531035a6f9acb]
/ <summary>
/ A trick to clean up ignite.jni.dll when Ignite is started in non-default AppDomain.
/ We rely on finalizer order here, which is technically undefined:
/ everything that uses UnmanagedUtils must be cleaned up when this class is finalized.
/ </summary>
","[2017-07-12 15:44:25][Pavel Tupitsyn][issue:comment][IGNITE-5730:16084187]
* {{DomainUnload}} is not called in default domain. {{ProcessExit}} should be used instead.
* When Ignite is started in a non-default AppDomain, we should use {{DomainUnload}}. But we rely on {{UnmanagedTarget}} and {{UnmanagedContext}} finalizers to clean up unmanaged objects, so we can't unload ignite.jni.dll before everything is finalized. And finalizer order is undefined. Seems like there is no reliable way to handle this.

Maybe we should not waste time on this and implement IGNITE-5343 instead, which gets rid of {{ignite.jni.dll}} altogether."
